Ilan no,il,Emlak Tipi,m² (Brüt),m² (Net),Oda Sayısı,Bina Yaşı,Bulunduğu Kat,Kat Sayısı,Isıtma turu,Banyo Sayısı,Balkon sayisi,Asansör,Otopark,Site İçerisinde,Aidat (TL),Krediye Uygun,fiyat
1009940,İzmir,Daire,70,53,3,39,5,6,Doğalgaz (Kombi),2,1,True,True,False,181,True,1379413
1005169,Antalya,Daire,238,204,4,31,2,6,Merkezi,2,1,True,True,False,63,True,1730667
1010909,Samsun,Daire,237,179,2,22,1,13,Soba,1,1,False,True,False,44,True,1248499
1004122,İzmir,Ofis,325,247,2,38,12,16,Doğalgaz (Kombi),1,1,True,True,False,148,False,6130633
1012948,İstanbul,Villa,226,163,5,25,9,10,Doğalgaz (Kombi),2,1,True,False,False,77,False,4785302
1014482,İzmir,Daire,123,92,2,0,8,15,Doğalgaz (Kombi),2,1,True,False,True,100,True,1138503
1000149,İzmir,Daire,122,100,3,0,3,9,Merkezi,1,1,True,True,True,100,True,1570374
1011736,Eskişehir,Villa,723,606,5,39,0,7,Merkezi,1,3,True,True,False,147,True,5964235
1000387,Adana,Dükkan,203,165,0,8,0,2,Doğalgaz (Kombi),1,1,False,True,False,81,True,1444606
1003946,Bursa,Daire,178,132,3,49,6,8,Merkezi,2,1,True,True,True,100,True,1493266
1013402,İzmir,Dükkan,262,187,0,9,0,6,Doğalgaz (Kombi),1,0,True,True,False,140,True,3585041
1001373,Eskişehir,Daire,109,83,2,44,15,16,Doğalgaz (Kombi),1,1,True,False,True,302,True,890558
1002884,Ankara,Dükkan,295,232,0,49,2,4,Soba,2,1,False,True,False,0,False,4503015
1014042,İzmir,Daire,216,190,2,45,10,12,Doğalgaz (Kombi),2,1,False,True,False,103,True,4049369
1011360,İstanbul,Daire,243,171,2,13,12,17,Merkezi,1,1,True,False,False,25,True,5440646
1002991,İzmir,Arsa,249,249,0,13,5,17,Doğalgaz (Kombi),1,1,True,True,False,90,False,1780450
1011595,İstanbul,Daire,207,155,1,11,1,14,Soba,2,1,True,False,False,0,True,4145187
1010581,Bursa,Daire,144,102,2,38,5,16,Merkezi,3,3,False,False,False,0,True,1107729
1014867,Antalya,Dükkan,138,117,0,3,2,17,Doğalgaz (Kombi),3,1,True,True,False,0,True,1547161
1014424,İstanbul,Daire,67,56,1,78,1,1,Doğalgaz (Kombi),1,1,False,True,False,166,True,1219290
1003024,Samsun,Daire,130,104,4,11,1,1,Doğalgaz (Kombi),3,2,False,True,False,79,True,657019
1000251,Kayseri,Daire,137,97,3,17,8,14,Klima,2,1,True,True,True,556,True,408654
1012146,Diyarbakır,Daire,228,194,2,30,0,3,Doğalgaz (Kombi),3,1,True,False,False,97,True,790318
1011438,Antalya,Daire,93,76,2,32,1,15,Doğalgaz (Kombi),2,0,True,True,True,261,True,951384
1007092,Mersin,Daire,146,104,2,48,6,10,Doğalgaz (Kombi),3,1,True,False,False,64,True,626434
1000932,Adana,Daire,230,180,3,0,3,7,Doğalgaz (Kombi),2,0,True,True,True,194,True,1053403
1007217,İstanbul,Dükkan,138,112,0,10,0,2,Merkezi,2,2,True,False,False,0,False,3637820
1003684,Konya,Daire,71,54,1,9,5,14,Doğalgaz (Kombi),2,0,True,True,False,0,True,328907
1008368,İstanbul,Daire,216,191,4,37,0,9,Doğalgaz (Kombi),1,2,True,True,False,0,True,4276300
1009478,Antalya,Daire,88,67,2,3,4,13,Merkezi,1,1,False,True,False,0,True,782946
1011724,Konya,Daire,136,123,2,30,12,15,Doğalgaz (Kombi),1,1,True,False,False,0,True,441206
1007417,İstanbul,Dükkan,153,107,0,66,6,18,Isıtma Yok,3,1,False,False,False,41,False,5306322
1010504,İzmir,Daire,233,176,3,73,5,17,Soba,1,2,True,False,False,0,True,2022432
1010515,Adana,Daire,41,32,3,22,0,3,Merkezi,1,1,False,False,False,0,True,206568
1013509,Eskişehir,Daire,145,103,3,14,3,5,Isıtma Yok,2,0,True,False,False,0,True,917656
1007172,İstanbul,Daire,233,208,4,13,0,7,Doğalgaz (Kombi),2,1,False,True,True,473,True,4051579
1003328,Antalya,Daire,171,126,4,12,10,15,Doğalgaz (Kombi),1,1,True,True,False,31,True,1809816
1005023,Konya,Arsa,1829,1829,0,10,1,16,Doğalgaz (Kombi),1,0,True,False,False,0,False,5824034
1002214,İstanbul,Arsa,1873,1873,0,4,2,15,Merkezi,1,1,True,False,False,62,True,22974785
1002216,Bursa,Daire,86,76,2,9,2,9,Merkezi,2,3,True,False,False,104,True,466993
1014795,Trabzon,Daire,153,136,1,19,0,7,Merkezi,1,1,True,True,False,79,True,622923
1002859,İstanbul,Daire,210,149,2,17,9,16,Doğalgaz (Kombi),1,0,True,True,False,111,True,4434800
1004024,Bursa,Ofis,211,154,3,26,13,14,Klima,1,1,True,False,False,0,True,1574977
1002760,Malatya,Arsa,1062,1062,0,30,1,12,Doğalgaz (Kombi),1,0,False,False,True,10,False,2760444
1003290,Antalya,Daire,102,91,1,44,3,8,Merkezi,3,0,True,True,False,80,True,553644
1010043,Gaziantep,Daire,156,125,1,19,4,5,Doğalgaz (Kombi),1,1,True,True,False,141,True,1033642
1002626,Malatya,Ofis,67,54,3,70,5,7,Doğalgaz (Kombi),1,3,True,False,False,66,False,289520
1004609,İzmir,Dükkan,77,59,0,68,0,13,Soba,2,2,True,True,False,91,True,1520947
1013283,Bursa,Daire,139,99,3,17,3,17,Doğalgaz (Kombi),1,0,True,False,True,182,True,1169196
1012472,İstanbul,Daire,110,80,5,23,0,3,Isıtma Yok,1,1,False,True,False,105,True,2430897
1011739,Trabzon,Daire,91,72,1,31,2,6,Merkezi,1,1,True,False,False,98,True,397108
1006661,İstanbul,Daire,43,39,1,1,0,11,Merkezi,1,0,True,True,True,379,True,1068022
1013939,Ankara,Daire,75,66,1,21,3,5,Doğalgaz (Kombi),3,0,True,True,False,40,True,652414
1007359,Diyarbakır,Daire,91,79,2,8,4,5,Merkezi,1,2,True,False,False,15,True,379235
1003204,Ankara,Daire,56,48,3,47,6,7,Merkezi,2,1,True,False,False,0,True,540296
1011752,İstanbul,Daire,146,110,4,25,0,2,Klima,1,1,False,False,False,13,False,2886195
1006126,İstanbul,Daire,157,140,3,42,5,8,Klima,1,0,True,False,False,0,True,3479004
1014629,Kayseri,Daire,83,72,2,71,0,8,Soba,1,2,True,False,False,71,True,399828
1002678,Ankara,Daire,160,122,5,46,3,6,Doğalgaz (Kombi),2,1,True,True,False,0,True,1301645
1003708,Ankara,Daire,69,55,3,25,1,1,Doğalgaz (Kombi),1,0,True,True,False,64,True,466523
1009987,Ankara,Daire,51,46,4,47,2,5,Merkezi,3,2,True,True,False,0,True,531582
1002805,İstanbul,Daire,42,35,2,9,11,12,Merkezi,1,1,False,False,False,96,True,701276
1001453,Konya,Daire,208,184,3,49,3,4,Klima,1,0,False,False,False,142,False,1247967
1014421,İstanbul,Daire,120,104,3,23,1,4,Merkezi,1,1,False,False,False,0,True,2983235
1009999,Kayseri,Daire,130,97,4,17,7,8,Merkezi,2,1,True,False,False,0,True,707620
1002319,Antalya,Daire,205,165,2,22,1,3,Doğalgaz (Kombi),2,1,True,False,False,0,True,2002855
1013882,İstanbul,Daire,70,53,2,22,13,14,Doğalgaz (Kombi),1,1,True,False,False,0,True,2164054
1012608,İstanbul,Daire,198,176,4,11,5,10,Merkezi,1,2,True,False,True,527,True,4313286
1007333,Ankara,Daire,216,178,5,13,3,11,Merkezi,2,1,False,True,False,74,True,1772752
1003651,İzmir,Daire,215,155,3,47,0,15,Doğalgaz (Kombi),2,2,True,True,False,26,True,2947857
1002288,İstanbul,Daire,137,104,4,51,0,14,Doğalgaz (Kombi),1,1,True,False,False,67,True,2693011
1003623,İstanbul,Daire,131,109,1,10,6,8,Merkezi,1,1,True,False,False,36,True,2241063
1013618,Adana,Dükkan,277,206,0,35,5,13,Doğalgaz (Kombi),2,1,False,True,False,148,True,2014513
1004878,Diyarbakır,Daire,112,90,3,52,6,7,Doğalgaz (Kombi),1,1,True,False,True,521,True,367166
1001713,Bursa,Daire,206,176,2,22,0,10,Doğalgaz (Kombi),3,1,True,False,False,111,False,1907541
1014505,Adana,Arsa,1632,1632,0,39,4,9,Doğalgaz (Kombi),1,2,False,False,False,178,True,4385801
1003589,Ankara,Daire,145,110,3,20,16,17,Doğalgaz (Kombi),3,0,True,False,False,116,True,1071204
1009466,İzmir,Daire,238,189,3,39,0,6,Merkezi,2,1,True,False,False,23,True,3885790
1005155,İstanbul,Daire,85,73,3,3,3,7,Doğalgaz (Kombi),1,1,True,False,False,0,True,2109028
1012594,Adana,Arsa,1053,1053,0,26,2,4,Isıtma Yok,1,1,True,True,False,48,False,2229401
1013673,Eskişehir,Dükkan,299,260,0,5,11,13,Merkezi,3,1,False,True,False,32,False,1648192
1003669,Eskişehir,Arsa,697,697,0,17,3,5,Doğalgaz (Kombi),2,2,False,False,False,0,False,2080907
1014324,Mersin,Daire,208,179,2,15,10,16,Merkezi,2,3,True,True,False,96,False,1236259
1013524,Antalya,Ofis,92,78,2,49,3,17,Merkezi,1,0,False,True,False,27,True,397342
1008384,Mersin,Daire,48,41,5,62,14,17,Merkezi,1,2,False,False,True,100,True,307276
1014210,Mersin,Arsa,245,245,0,36,6,8,Doğalgaz (Kombi),2,2,False,False,False,77,False,623729
1004387,Mersin,Daire,45,41,1,43,0,5,Doğalgaz (Kombi),3,2,True,False,False,3,True,274747
1009123,İstanbul,Ofis,85,69,1,0,4,11,Merkezi,2,0,True,False,False,101,True,1699992
1007894,Ankara,Daire,162,116,2,4,11,16,Doğalgaz (Kombi),1,1,True,False,False,0,True,1659296
1001489,İstanbul,Daire,173,144,3,37,0,3,Doğalgaz (Kombi),1,2,True,False,False,39,True,2023951
1001606,Adana,Daire,186,168,2,32,5,12,Doğalgaz (Kombi),2,2,True,False,False,55,True,723557
1008594,Ankara,Daire,149,111,4,44,4,14,Doğalgaz (Kombi),1,2,True,True,True,236,True,1814453
1008528,Mersin,Dükkan,132,117,0,16,3,4,Isıtma Yok,1,0,True,True,False,218,True,592821
1001402,İstanbul,Daire,186,162,2,22,1,2,Isıtma Yok,2,1,False,False,False,139,True,4775121
1009387,Antalya,Daire,200,169,4,45,2,10,Doğalgaz (Kombi),3,1,False,True,False,36,True,1611744
1003519,Adana,Daire,200,154,5,3,7,12,Merkezi,1,1,True,True,False,90,True,1074944
1003297,İstanbul,Daire,196,167,3,43,0,3,Merkezi,1,1,True,True,False,147,True,3930732
1001006,Ankara,Daire,39,31,4,16,0,4,Doğalgaz (Kombi),2,0,True,False,False,115,True,456048
1002791,İstanbul,Daire,84,67,3,28,4,14,Doğalgaz (Kombi),1,1,True,False,False,42,True,1681713
1002704,Adana,Daire,61,54,2,66,8,16,Merkezi,1,1,True,False,False,192,True,326013
1005613,Gaziantep,Daire,60,53,4,66,7,8,Doğalgaz (Kombi),1,2,True,False,False,0,True,145209
1014030,Malatya,Daire,41,30,2,49,3,7,Merkezi,1,1,True,True,False,193,True,113232
1005683,Ankara,Daire,37,34,1,11,10,12,Soba,1,2,True,True,True,100,True,447700
1012287,Ankara,Daire,128,96,3,18,5,8,Merkezi,1,1,False,True,True,296,False,1469515
1005400,İstanbul,Daire,68,51,3,71,7,9,Merkezi,1,1,True,True,False,63,True,1255244
1002357,Trabzon,Daire,224,168,2,18,11,12,Merkezi,2,1,True,False,False,68,True,731433
1014680,İstanbul,Daire,224,204,3,72,0,4,Doğalgaz (Kombi),1,1,False,False,False,62,False,6599706
1000290,İstanbul,Dükkan,230,209,0,41,1,7,Doğalgaz (Kombi),2,0,False,False,False,0,True,3515152
1012534,Konya,Daire,246,224,2,54,5,6,Merkezi,2,1,False,False,True,514,True,871063
1005908,İstanbul,Daire,51,41,3,10,4,14,Merkezi,1,1,True,True,False,210,True,971395
1013818,Ankara,Daire,95,82,3,9,6,11,Klima,1,0,True,False,False,61,True,657875
1006594,İstanbul,Daire,119,84,2,0,3,4,Doğalgaz (Kombi),2,1,False,False,False,195,True,4000104
1000088,İstanbul,Dükkan,152,124,0,9,2,6,Doğalgaz (Kombi),1,1,False,False,False,0,True,5140449
1012998,Diyarbakır,Arsa,1050,1050,0,44,0,12,Doğalgaz (Kombi),2,2,True,False,False,100,False,1823128
1002232,İstanbul,Daire,54,40,3,79,9,15,Klima,2,1,True,True,False,12,True,1150166
1008273,İstanbul,Daire,108,89,2,30,7,14,Doğalgaz (Kombi),1,1,True,False,False,71,True,2609068
1009322,Gaziantep,Dükkan,71,60,0,61,6,11,Doğalgaz (Kombi),1,2,False,True,False,0,False,396107
1007964,Gaziantep,Daire,131,109,5,3,0,6,Merkezi,1,1,True,True,True,100,True,582338
1009037,İzmir,Dükkan,125,93,0,34,10,16,Doğalgaz (Kombi),1,1,False,False,False,0,True,1789257
1011408,Kayseri,Daire,166,152,3,17,7,10,Doğalgaz (Kombi),2,1,True,True,True,100,True,636924
1008391,Ankara,Daire,122,98,2,5,1,9,Doğalgaz (Kombi),1,2,True,True,False,121,False,922154
1011749,Ankara,Arsa,1068,1068,0,15,5,16,Doğalgaz (Kombi),2,3,False,True,False,0,False,4946360
1001056,İzmir,Daire,78,62,2,16,2,4,Doğalgaz (Kombi),2,3,True,False,False,0,True,761360
1000903,Adana,Daire,211,182,3,11,3,16,Merkezi,3,1,True,False,False,0,True,956984
1014220,İstanbul,Villa,354,303,5,18,3,4,Merkezi,1,0,True,True,False,56,True,14446181
1013626,Malatya,Daire,106,75,2,26,8,16,Merkezi,2,0,True,False,False,0,True,221315
1002039,İzmir,Daire,70,50,2,22,5,16,Doğalgaz (Kombi),1,2,False,True,False,0,False,906270
1001611,Adana,Dükkan,244,181,0,32,0,2,Doğalgaz (Kombi),2,1,False,False,False,19,False,1328530
1014519,İzmir,Daire,58,45,4,18,0,3,Doğalgaz (Kombi),2,2,False,False,False,3,True,868186
1000736,İstanbul,Daire,67,57,3,40,0,7,Doğalgaz (Kombi),1,1,False,False,False,0,True,1271038
1005963,İstanbul,Daire,147,121,2,54,1,14,Merkezi,1,0,True,True,False,16,True,2161460
1011875,Antalya,Daire,39,35,2,27,9,18,Merkezi,2,1,True,True,False,60,True,376852
1007308,İstanbul,Daire,70,56,3,7,1,4,Isıtma Yok,1,1,False,False,True,435,True,1332535
1009052,Samsun,Daire,125,104,2,18,0,9,Doğalgaz (Kombi),1,0,True,True,False,216,True,741106
1006177,İstanbul,Daire,186,139,3,30,7,16,Merkezi,2,1,True,True,True,308,True,2847704
1013555,İstanbul,Daire,192,161,3,38,3,11,Klima,1,2,False,False,True,357,True,3103234
1002864,İstanbul,Daire,62,54,4,54,1,9,Soba,1,1,True,True,True,100,True,926408
1010056,İstanbul,Dükkan,152,119,0,57,10,13,Isıtma Yok,2,3,False,True,False,78,False,4691931
1001418,İstanbul,Daire,165,152,1,54,1,3,Doğalgaz (Kombi),1,0,False,False,True,663,True,2311023
1005914,Ankara,Daire,217,171,2,5,8,9,Merkezi,1,0,True,False,False,42,True,2408339
1004148,Antalya,Daire,239,168,4,73,4,16,Doğalgaz (Kombi),1,2,True,False,False,0,False,1547553
1013109,İstanbul,Daire,79,70,3,28,4,15,Doğalgaz (Kombi),1,3,True,False,True,100,True,1995227
1013685,İstanbul,Ofis,264,219,2,25,1,12,Doğalgaz (Kombi),2,1,True,True,False,0,False,7519745
1001010,Antalya,Daire,56,48,2,40,4,15,Doğalgaz (Kombi),1,1,True,True,False,104,False,361588
1008634,Ankara,Daire,132,97,3,12,2,3,Doğalgaz (Kombi),2,0,False,False,False,112,True,1057070
1007588,Ankara,Daire,59,42,4,2,5,6,Merkezi,2,2,True,False,True,100,True,572937
1004189,İzmir,Daire,114,94,3,0,12,16,Klima,1,2,True,False,False,0,True,1130286
1014953,İstanbul,Dükkan,239,180,0,9,0,2,Doğalgaz (Kombi),2,1,True,False,False,109,True,4251092
1010528,Trabzon,Daire,78,56,3,22,11,14,Doğalgaz (Kombi),2,1,True,False,True,593,True,221029
1009824,İstanbul,Daire,137,125,3,10,8,13,Doğalgaz (Kombi),2,0,True,False,False,0,True,2829697
1005145,Konya,Daire,240,178,3,21,3,10,Merkezi,1,2,True,False,False,0,True,1627893
1008937,Mersin,Daire,222,183,2,4,1,2,Doğalgaz (Kombi),2,1,True,False,False,0,True,1100728
1009615,Konya,Daire,249,200,2,15,0,14,Soba,1,2,True,False,False,78,True,1175815
1008700,İstanbul,Daire,53,46,3,41,3,6,Soba,1,1,True,False,True,100,True,1210741
1003800,Ankara,Daire,238,213,2,37,8,18,Doğalgaz (Kombi),2,1,False,False,False,0,True,2908345
1010381,Adana,Arsa,411,411,0,30,1,1,Doğalgaz (Kombi),2,2,False,True,False,10,False,1047419
1003745,Mersin,Daire,205,181,3,63,6,7,Merkezi,1,0,True,False,False,156,True,1069577
1009073,Antalya,Daire,173,149,1,64,12,16,Merkezi,3,1,True,False,True,100,True,1835764
1011361,Ankara,Daire,172,157,2,31,6,13,Merkezi,2,0,True,True,False,80,True,1316648
1008048,Adana,Daire,108,80,4,22,5,9,Soba,1,1,True,False,False,4,True,593360
1001385,İstanbul,Daire,218,188,3,26,1,5,Doğalgaz (Kombi),2,1,True,False,False,0,True,4400593
1010182,İzmir,Daire,74,66,3,5,6,12,Merkezi,1,1,False,False,True,100,True,962215
1004872,İstanbul,Daire,83,61,1,42,2,14,Isıtma Yok,1,1,False,True,False,70,True,1812434
1000735,Mersin,Daire,118,90,3,12,3,6,Merkezi,1,2,True,False,False,112,False,516264
1005712,İstanbul,Daire,186,160,2,73,2,7,Doğalgaz (Kombi),2,3,True,False,False,22,True,4880448
1005422,Konya,Villa,130,115,5,70,2,3,Merkezi,1,1,False,False,True,450,True,855896
1004012,İstanbul,Daire,94,75,3,9,0,3,Doğalgaz (Kombi),1,2,False,False,False,125,True,2455127
1002858,İstanbul,Dükkan,219,155,0,66,10,16,Klima,3,0,False,False,False,82,False,7063996
1009896,Adana,Daire,198,165,2,51,2,16,Doğalgaz (Kombi),1,0,False,False,False,0,True,1071627
1004536,İzmir,Daire,125,101,3,78,12,15,Merkezi,1,0,True,True,True,224,True,2040123
1004580,İzmir,Daire,172,152,2,39,12,16,Doğalgaz (Kombi),1,1,True,False,False,65,True,3171816
1007655,Gaziantep,Daire,95,71,2,6,1,11,Doğalgaz (Kombi),2,1,True,False,False,0,True,650860
1005998,Samsun,Dükkan,251,217,0,71,0,4,Merkezi,1,1,True,True,False,45,False,1483296
1000884,İstanbul,Daire,66,50,3,12,11,13,Soba,1,0,True,True,True,100,True,1697801
1009026,Diyarbakır,Ofis,57,52,2,62,8,10,Doğalgaz (Kombi),2,1,True,True,False,0,True,225120
1003233,İzmir,Daire,165,129,2,65,4,10,Yerden Isıtma,3,1,True,True,True,100,True,3149680
1005601,İzmir,Daire,98,72,5,0,0,7,Doğalgaz (Kombi),2,1,True,True,False,99,True,1091683
1002417,Ankara,Daire,206,154,2,72,2,5,Klima,2,2,True,False,False,4,False,2646272
1005358,Eskişehir,Daire,147,128,2,75,5,9,Isıtma Yok,1,1,True,True,False,45,True,559693
1011009,Kayseri,Daire,187,168,1,40,17,18,Doğalgaz (Kombi),2,1,False,True,False,0,True,760482
1004948,Antalya,Daire,138,101,2,7,5,8,Doğalgaz (Kombi),1,1,True,False,False,34,True,1242472
1005933,Ankara,Arsa,1499,1499,0,28,0,3,Doğalgaz (Kombi),3,1,False,False,False,121,False,10077753
1002919,Bursa,Daire,35,29,3,56,2,5,Soba,1,0,False,False,False,0,True,242210
1010838,Konya,Daire,135,103,2,15,0,6,Doğalgaz (Kombi),2,2,True,False,True,362,False,597254
1005598,Gaziantep,Daire,205,170,3,22,8,17,Merkezi,1,0,False,True,False,63,True,1107234
1003698,Antalya,Daire,38,31,1,24,1,2,Doğalgaz (Kombi),1,2,False,True,False,290,True,387832
1012167,Trabzon,Daire,207,186,3,40,14,16,Doğalgaz (Kombi),1,0,True,False,False,163,False,855821
1009955,İstanbul,Daire,127,109,4,23,0,5,Doğalgaz (Kombi),2,0,True,False,False,83,True,2805593
1014084,Ankara,Ofis,189,147,3,57,2,4,Soba,2,2,False,False,False,18,True,1482124
1006880,Antalya,Daire,193,140,2,27,0,2,Klima,1,1,False,True,False,5,True,1638016
1009158,Samsun,Daire,219,171,2,26,2,10,Merkezi,1,1,False,False,False,40,True,945589
1010216,İstanbul,Daire,192,148,1,58,0,3,Doğalgaz (Kombi),1,1,True,False,False,61,True,2130808
1004401,Antalya,Daire,185,156,3,50,0,5,Doğalgaz (Kombi),2,1,True,False,False,16,True,1715028
1010804,Diyarbakır,Arsa,1728,1728,0,25,9,11,Doğalgaz (Kombi),1,1,False,False,False,98,False,5834690
1005931,Adana,Daire,244,184,2,40,0,5,Yerden Isıtma,2,0,False,False,False,83,True,1665341
1001522,Trabzon,Daire,52,42,3,49,2,13,Merkezi,2,1,True,False,False,50,False,178863
1011306,Antalya,Arsa,1261,1261,0,57,10,18,Isıtma Yok,2,1,False,False,False,207,False,6823998
1002562,Ankara,Daire,97,75,3,0,5,17,Soba,2,1,True,False,False,16,True,1158651
1002128,İstanbul,Daire,242,193,1,0,3,6,Doğalgaz (Kombi),1,1,True,False,False,0,True,6726644
1001086,İstanbul,Daire,104,80,3,13,4,16,Merkezi,1,1,False,False,False,0,True,2596591
1001962,Ankara,Daire,153,133,2,4,7,12,Yerden Isıtma,1,2,True,False,True,248,True,1150742
1005620,İzmir,Daire,111,96,3,10,1,12,Doğalgaz (Kombi),1,2,False,True,False,55,True,1744234
1014990,İzmir,Daire,227,183,3,1,3,17,Doğalgaz (Kombi),1,0,True,True,False,50,True,3572483
1012837,Samsun,Daire,39,32,5,21,4,10,Doğalgaz (Kombi),1,1,True,False,False,223,True,135094
1003065,Bursa,Daire,68,62,5,38,1,12,Doğalgaz (Kombi),1,1,True,False,False,125,True,466994
1012722,Bursa,Daire,52,40,2,12,2,4,Klima,1,2,False,True,False,46,True,553533
1013286,İstanbul,Dükkan,114,98,0,0,8,10,Isıtma Yok,1,1,False,True,False,139,True,2806182
1003615,Bursa,Daire,231,200,1,27,5,11,Klima,2,1,True,True,False,34,True,2204215
1011373,Gaziantep,Daire,152,110,1,1,15,16,Merkezi,2,1,True,False,True,338,True,901535
1012363,Mersin,Arsa,1349,1349,0,0,3,14,Doğalgaz (Kombi),1,1,False,False,False,145,False,2775712
1008290,Antalya,Daire,65,50,4,20,5,7,Klima,1,1,True,False,True,100,True,678322
1009068,Kayseri,Daire,59,50,3,41,0,3,Merkezi,2,1,False,False,False,65,True,253214
1001346,Adana,Dükkan,203,164,0,1,0,17,Doğalgaz (Kombi),1,1,False,False,False,22,True,1087814
1008769,İstanbul,Daire,36,30,4,34,1,2,Soba,3,1,True,False,False,66,True,798965
1011193,İzmir,Daire,188,165,3,41,13,16,Merkezi,1,1,True,False,False,30,True,1960338
1003570,Konya,Daire,194,166,3,58,5,15,Doğalgaz (Kombi),1,1,True,True,False,109,True,700507
1001121,Ankara,Daire,124,108,2,9,3,11,Isıtma Yok,1,2,True,False,False,0,True,1152269
1001533,Adana,Daire,106,84,3,63,3,4,Doğalgaz (Kombi),1,0,False,False,False,103,True,534032
1002943,İstanbul,Daire,145,126,2,62,9,10,Merkezi,3,1,True,True,False,0,True,3259927
1011828,Antalya,Daire,180,145,4,2,4,5,Merkezi,1,0,True,True,False,0,True,1916690
